0; ;-7,44939e-18; ;24;
0; ;-7,44939e-18; ;24;
62,9776; ;-0,920255; ;37;
62,7259; ;-0,921198; ;37;
62,744; ;-0,921194; ;29;
0; ;-7,44939e-18; ;25;
62,727; ;-0,921198; ;33;
2,09883e-13; ;-7,44939e-18; ;37;
62,6526; ;-0,921115; ;29;
62,7329; ;-0,921198; ;37;
2,27374e-13; ;-7,44939e-18; ;29;
2,0211e-13; ;-7,44939e-18; ;41;
2,38742e-13; ;-7,44939e-18; ;37;
62,8571; ;-0,920944; ;37;
2,27374e-13; ;-7,44939e-18; ;41;
2,27374e-13; ;-7,44939e-18; ;45;
2,65269e-13; ;-7,44939e-18; ;33;
62,7269; ;-0,921198; ;33;
62,726; ;-0,921198; ;29;
2,54124e-13; ;-7,44939e-18; ;37;
62,727; ;-0,921198; ;33;
62,7269; ;-0,921198; ;25;
62,7251; ;-0,921198; ;25;
1,13687e-13; ;-7,44939e-18; ;29;
2,27374e-13; ;-7,44939e-18; ;41;
2,43055e-13; ;-7,44939e-18; ;33;
62,9873; ;-0,92018; ;33;
2,53359e-13; ;-7,44939e-18; ;33;
62,7269; ;-0,921198; ;25;
5,32184e-11; ;-7,44939e-18; ;24;
62,6869; ;-0,921174; ;33;
62,4762; ;-0,920255; ;25;
2,27374e-13; ;-7,44939e-18; ;33;
62,727; ;-0,921198; ;25;
2,27374e-13; ;-7,44939e-18; ;41;
62,7309; ;-0,921198; ;29;
63,4483; ;-0,913401; ;29;
2,16005e-13; ;-7,44939e-18; ;37;
0; ;-7,44939e-18; ;24;
62,7204; ;-0,921198; ;41;
62,7462; ;-0,921193; ;29;
2,27374e-13; ;-7,44939e-18; ;41;
62,7354; ;-0,921197; ;33;
62,7279; ;-0,921198; ;29;
0; ;-7,44939e-18; ;24;
62,727; ;-0,921198; ;33;
2,27374e-13; ;-7,44939e-18; ;25;
2,50895e-13; ;-7,44939e-18; ;49;
62,727; ;-0,921198; ;21;
0; ;-7,44939e-18; ;24;
1,13687e-13; ;-7,44939e-18; ;33;
2,05719e-13; ;-7,44939e-18; ;53;
62,727; ;-0,921198; ;21;
62,727; ;-0,921198; ;25;
62,7276; ;-0,921198; ;29;
1,13687e-13; ;-7,44939e-18; ;29;
62,727; ;-0,921198; ;29;
62,727; ;-0,921198; ;25;
62,7299; ;-0,921198; ;33;
62,727; ;-0,921198; ;21;
2,38742e-13; ;-7,44939e-18; ;49;
0; ;-7,44939e-18; ;24;
62,6939; ;-0,921182; ;33;
2,65269e-13; ;-7,44939e-18; ;33;
1,13687e-13; ;-7,44939e-18; ;28;
1,36424e-13; ;-7,44939e-18; ;33;
62,724; ;-0,921198; ;29;
2,27374e-13; ;-7,44939e-18; ;45;
62,732; ;-0,921198; ;37;
62,8424; ;-0,920998; ;29;
2,27374e-13; ;-7,44939e-18; ;37;
62,7236; ;-0,921198; ;37;
2,79845e-13; ;-7,44939e-18; ;45;
0; ;-7,44939e-18; ;24;
62,7925; ;-0,921134; ;25;
0; ;-7,44939e-18; ;25;
5,68434e-14; ;-7,44939e-18; ;29;
2,82257e-13; ;-7,44939e-18; ;33;
2,27374e-13; ;-7,44939e-18; ;33;
62,7358; ;-0,921197; ;25;
2,27374e-13; ;-7,44939e-18; ;41;
62,6059; ;-0,920978; ;33;
62,726; ;-0,921198; ;29;
62,7269; ;-0,921198; ;29;
2,52637e-13; ;-7,44939e-18; ;37;
2,34592e-13; ;-7,44939e-18; ;45;
1,44962e-13; ;-7,44939e-18; ;5;
62,727; ;-0,921198; ;29;
-5,82077e-12; ;-7,44939e-18; ;21;
62,727; ;-0,921198; ;29;
62,7451; ;-0,921193; ;29;
62,72; ;-0,921197; ;29;
62,7114; ;-0,921195; ;37;
2,21228e-13; ;-7,44939e-18; ;37;
62,7263; ;-0,921198; ;29;
62,7248; ;-0,921198; ;21;
0; ;-7,44939e-18; ;24;
62,711; ;-0,921194; ;29;
60,9524; ;-0,875116; ;33;
62,7133; ;-0,921195; ;29;
